"scientific_name","taxocode","a3_code","isscaap","english_name"
"Petromyzon marinus","1020100101","LAU",25,"Sea lamprey"
"Lampetra fluviatilis","1020100201","LAR",25,"River lamprey"
"Lampetra tridentata","1020100202","LAO",25,"Pacific lamprey"
"Ichthyomyzon unicuspis","1020100401","LAY",25,"Silver lamprey"
"Eudontomyzon mariae","1020100501","LAF",25,"Ukrainian brook lamprey"
"Geotria australis","1020100701","LAE",25,"Pouched lamprey"
"Mordacia mordax","1020100801","LAK",25,"Australian lamprey"
"Caspiomyzon wagneri","1020100901","LAW",25,"Caspian lamprey"
"Lethenteron camtschaticum","1020101101","LSZ",25,"Arctic lamprey"
"Petromyzontidae","10201XXXXX","LAS",25,"Lampreys nei"
"Paramyxine atami","1030300201","MYP",33,"Brown hagfish"
"Myxine glutinosa","1030300301","MYG",33,"Hagfish"
"Nemamyxine elongata","1030300401","MYE",33,""
"Eptatretus burgeri","1030300601","MYB",33,"Inshore hagfish"
"Eptatretus stoutii","1030300602","MYU",33,"Pacific hagfish"
"Eptatretus cirrhatus","1030300603","MWC",33,"Broadgilled hagfish"
"Myxinidae","10303XXXXX","MYX",33,"Hagfishes nei"
"Heterodontus francisci","1040100101","HEF",38,"Horn shark"
"Heterodontus galeatus","1040100102","HEG",38,"Crested bullhead shark"
"Heterodontus japonicus","1040100103","HEJ",38,"Japanese bullhead shark"
"Heterodontus mexicanus","1040100104","HEM",38,"Mexican hornshark"
"Heterodontus portusjacksoni","1040100105","HEK",38,"Port Jackson shark"
"Heterodontus quoyi","1040100106","HEQ",38,"Galapagos bullhead shark"
"Heterodontus ramalheira","1040100107","HEA",38,"Whitespotted bullhead shark"
"Heterodontus zebra","1040100108","HEZ",38,"Zebra bullhead shark"
"Heterodontiformes","104XXXXXXX","HDQ",38,"Bullhead sharks"
"Chlamydoselachus anguineus","1050100101","HXC",38,"Frilled shark"
"Chlamydoselachus africana","1050100102","HWR",38,"African frilled shark"
"Hexanchus griseus","1050200201","SBL",38,"Bluntnose sixgill shark"
"Hexanchus nakamurai","1050200202","HXN",38,"Bigeyed sixgill shark"
"Heptranchias perlo","1050200301","HXT",38,"Sharpnose sevengill shark"
"Notorynchus cepedianus","1050200502","NTC",38,"Broadnose sevengill shark"
"Hexanchiformes","105XXXXXXX","HXW",38,"Frilled and cow sharks"
"Cetorhinus maximus","1060100301","BSK",38,"Basking shark"
"Carcharias taurus","1060200501","CCT",38,"Sand tiger shark"
"Carcharias tricuspidatus","1060200502","LOU",38,"Indian sand tiger"
"Odontaspis ferox","1060200601","LOO",38,"Smalltooth sand tiger"
"Odontaspis noronhai","1060200602","ODH",38,"Bigeye sand tiger shark"
"Mitsukurina owstoni","1060301201","LMO",38,"Goblin shark"
"Pseudocarcharias kamoharai","1060403601","PSK",38,"Crocodile shark"
"Megachasma pelagios","1060500101","LMP",38,"Megamouth shark"
"Alopias vulpinus","1060600601","ALV",38,"Thresher"
"Alopias pelagicus","1060600602","PTH",38,"Pelagic thresher"
"Alopias superciliosus","1060600603","BTH",38,"Bigeye thresher"
"Alopias spp","10606006XX","THR",38,"Thresher sharks nei"
"Isurus oxyrinchus","1060800201","SMA",38,"Shortfin mako"
"Isurus paucus","1060800203","LMA",38,"Longfin mako"
